Date,MSFT,LMT
2020-12-18,209.253338703387,308.679557561014
2020-12-21,213.082486216144,302.887968524957
2020-12-22,214.374823501699,301.648152309154
2020-12-23,211.579545817387,304.838728305066
2020-12-24,213.235652116654,305.159519913351
2020-12-28,215.351256117452,307.075599519591
2020-12-29,214.575853746119,306.832838302511
2020-12-30,212.211355156992,307.058259432657
2020-12-31,212.919747446852,307.769202996963
2021-01-04,208.391780513016,298.804378051928
2021-01-05,208.592810757436,302.402446090796
2021-01-06,203.184139895667,301.743522787293
2021-01-07,208.96615263993,296.992338967293
2021-01-08,210.239344187922,291.40016093098
2021-01-11,208.200323137379,292.77002779879
2021-01-12,205.749668729214,296.385435924593
2021-01-13,207.099443227461,299.541331746636
2021-01-14,203.921250791873,301.231990222731
2021-01-15,203.567054646943,301.084599483789
2021-01-19,207.19517191528,296.081984403242
2021-01-20,214.757738252975,296.229375142184
2021-01-21,215.360828986234,294.495366448753
2021-01-22,216.29897012686,294.677437361564
2021-01-25,219.726057150777,297.82466314014
2021-01-26,222.406460409707,286.709667415251
2021-01-27,222.952113930275,288.287615326273
2021-01-28,228.724553805756,284.316735418317
2021-01-29,222.052264264777,279.019338859887
2021-02-01,229.413800358052,280.935418466128
2021-02-02,229.279780195106,288.452346152148
2021-02-03,232.620711399986,288.183574804667
2021-02-04,231.672997390579,292.379875842768
2021-02-05,231.854881897435,292.215145016893
2021-02-08,232.113349354546,292.908748494265
2021-02-09,233.357822296192,296.810268054483
2021-02-10,232.448399761912,296.680217402476
2021-02-11,234.047068848488,294.035854144994
2021-02-12,234.525712287583,292.813378016126
2021-02-16,233.290812214719,290.472466279995
2021-02-17,234.305536305599,292.180464843024
2021-02-18,233.912148632031,292.978108842002
2021-02-19,231.206409023588,290.810597975214
2021-02-22,225.008154459566,295.188969926126
2021-02-23,223.818396617556,300.182914963205
2021-02-24,225.046533744792,300.44301626722
2021-02-25,219.711813098359,296.246715229118
2021-02-26,222.964457521274,288.582396804156
2021-03-01,227.339696037054,291.396129787379
2021-03-02,224.394085895948,295.870139996727
2021-03-03,218.339753651524,297.897425872838
2021-03-04,217.543383483082,295.573037756263
2021-03-05,222.216061459364,297.477987415712
2021-03-08,218.176641689313,298.369294137105
2021-03-09,224.307732504189,294.917665167002
2021-03-10,223.0028368065,297.836257764507
2021-03-11,227.521997641879,296.866306332402
2021-03-12,226.197912301577,297.268268187148
2021-03-15,225.295999098762,302.703491527411
2021-03-16,228.078497277658,303.332649213101
2021-03-17,227.43564425012,306.731848376063
2021-03-18,221.371717184389,313.224406160332
2021-03-19,221.016708796047,310.270860358067
2021-03-22,226.428188012934,312.534080366311
2021-03-23,227.953764600673,308.995068384307
2021-03-24,225.919662483687,311.188381983031
2021-03-25,222.926078236048,315.644915589999
2021-03-26,226.898334256954,318.694582705356
2021-03-29,225.708576414943,325.755130066983
2021-03-30,222.455931992028,323.789012299203
2021-03-31,226.21710194419,322.880228975429
2021-04-01,232.53049436389,324.20845075633
2021-04-05,238.978214281882,330.963157576303
2021-04-06,237.817240903791,331.155400202486
2021-04-07,239.774584450325,332.221472947682
2021-04-08,242.988849588014,337.31590254153
2021-04-09,245.483503127713,337.499406866523
2021-04-12,245.541072055552,338.915011659324
2021-04-13,248.016535952639,338.268377371254
2021-04-14,245.234037773743,339.631552356915
2021-04-15,248.985612904599,341.344259390181
2021-04-16,250.175370746609,342.375378930617
2021-04-19,248.256406485302,342.305472521096
2021-04-20,247.795855062588,338.460619997437
2021-04-21,250.021853605705,338.381975286726
2021-04-22,246.750019540176,332.134089935781
2021-04-23,250.568758420177,329.687365602543
2021-04-26,250.952551272439,325.047327670582
2021-04-27,251.355533767313,326.130877018159
2021-04-28,244.24577117917,325.886204584835
2021-04-29,242.27883281133,332.361285766724
2021-04-30,241.962203708215,332.544790091717
2021-05-03,241.655169426406,336.69548315703
2021-05-04,237.750077154646,338.591694515289
2021-05-05,236.483560742183,337.621743083184
2021-05-06,239.611472488113,338.469358298627
2021-05-07,242.230858704798,341.090848655667
2021-05-10,237.164793054947,343.537572988905
2021-05-11,236.253285030826,338.888796755754
2021-05-12,229.316229226201,332.597219898858
2021-05-13,233.182942212735,338.845105249803
2021-05-14,238.095490721681,341.475333908033
2021-05-17,235.24582879364,341.772436148498
2021-05-18,233.230916319267,338.364498684346
2021-05-19,233.806605597659,336.896464084403
2021-05-20,237.037891361102,339.32571181526
2021-05-21,235.778074590236,338.364498684346
2021-05-24,241.173167784555,338.792675442662
2021-05-25,242.077158444566,337.167351421298
2021-05-26,241.855969240521,335.664363616595
2021-05-27,239.759480263049,338.513049804578
2021-05-28,240.115306373904,336.249829796333
2021-06-01,237.922648177283,336.003492924688
2021-06-02,237.826478958132,338.792378221533
2021-06-03,236.297388373646,340.780668685531
2021-06-04,241.18278470647,346.719146841274
2021-06-07,244.087095124802,344.440530778552
2021-06-08,242.894596807341,341.818802644609
2021-06-09,243.875522842672,340.296792687655
2021-06-10,247.38569934165,341.10618526592
2021-06-11,248.010799266125,341.10618526592
2021-06-14,249.934183649127,342.329071878732
2021-06-15,248.462794596131,342.93611631243
2021-06-16,247.52033624846,337.481514154562
2021-06-17,250.905492762543,336.865671975448
2021-06-18,249.491805241036,333.601708426143
2021-06-21,252.569220253839,336.513762158811
2021-06-22,255.338893765361,336.496166667979
2021-06-23,255.112896100358,331.965327778782
2021-06-24,256.473690551332,332.317237595419
2021-06-25,254.867664591526,336.082672633431
2021-06-28,258.425925700078,334.375910022743
2021-06-29,261.0032607733,328.525409321159
2021-06-30,260.52241467755,332.862697811206
2021-07-01,261.1955992116,334.507876203982
2021-07-02,267.01383697018,335.625189871803
2021-07-06,267.023453892095,333.144225664515
2021-07-07,269.206495166802,337.375941209571
2021-07-08,266.792647766135,334.243943841505
2021-07-09,267.292727705715,337.050424629182
2021-07-12,266.696478546985,333.496135481152
2021-07-13,270.216271967877,332.414012794994
2021-07-14,271.687661020873,331.51664276257
2021-07-15,270.264356577452,332.774720357046
2021-07-16,269.995082763832,331.79817061588
2021-07-19,266.398353967619,327.29372496293
2021-07-20,268.619862929986,334.296730314
2021-07-21,270.620182688308,335.097325146848
2021-07-22,275.178603676021,334.25274158692
2021-07-23,278.573377112019,334.991752201857
2021-07-26,277.977127953288,323.801020032811
2021-07-27,275.563280552621,329.677913970644
2021-07-28,275.255539051341,327.988746850788
2021-07-29,275.524812864961,327.803994197054
2021-07-30,273.995722280475,326.985803873373
2021-08-02,273.90916998324,324.020963668209
2021-08-03,276.121062023692,325.03270439104
2021-08-04,275.534429786876,318.161665221209
2021-08-05,278.429123283294,317.40505911544
2021-08-06,278.371421751804,318.522372783262
2021-08-09,277.284709575408,317.633800496254
2021-08-10,275.467111333471,318.689529946164
2021-08-11,275.957574351137,319.622090960251
2021-08-12,278.708014018829,316.498891337601
2021-08-13,281.631558280991,314.941690398983
2021-08-16,283.314519616117,316.938778608396
2021-08-17,281.852747485036,318.126474239545
