Date,MSFT_rolling_beta,LMT_rolling_beta
2020-08-28,1.0937524699814605,0.8565008130714765
2020-08-31,1.0939317787843514,0.8566209306487848
2020-09-01,1.0932323070546202,0.856243226195302
2020-09-02,1.0937978939006856,0.8579876041325559
2020-09-03,1.1014039480222904,0.8596881565356542
2020-09-04,1.1018030082057029,0.8593328952847825
2020-09-08,1.1079117163380425,0.8558096774284494
2020-09-09,1.1112770675966492,0.8550505966056015
2020-09-10,1.1136840612040546,0.8557552210587307
2020-09-11,1.1136758002669898,0.8552999702474933
2020-09-14,1.1120748174115394,0.8549655179774795
2020-09-15,1.1123019029154992,0.8552502816284795
2020-09-16,1.1128804983345255,0.8547471714817297
2020-09-17,1.1131231652065505,0.8541402737441132
2020-09-18,1.1136160685339285,0.853549034188689
2020-09-21,1.111084411443162,0.8561207054154941
2020-09-22,1.1120310467309302,0.8573350595330531
2020-09-23,1.113233165919193,0.8567136300190686
2020-09-24,1.1130820699645207,0.8566198286082144
2020-09-25,1.1136506333752247,0.8579850659235384
2020-09-28,1.111613010862949,0.8569964572499992
2020-09-29,1.1118119060436558,0.8569648459865551
2020-09-30,1.1120359395916253,0.8552752241070027
2020-10-01,1.1121281848485638,0.8544355518605471
2020-10-02,1.1138396061698088,0.8537894134890711
2020-10-05,1.1138210694324262,0.8524697297564509
2020-10-06,1.114609407341352,0.8534827270996406
2020-10-07,1.1151877592101547,0.8552489782396607
2020-10-08,1.114262850939447,0.8558266004434337
2020-10-09,1.1153019936204147,0.8547481891681701
2020-10-12,1.117310071142804,0.8564925832955336
2020-10-13,1.1168378276361008,0.8564249289992727
2020-10-14,1.116868304862726,0.8563893284599536
2020-10-15,1.1167590357624806,0.8566339089953663
2020-10-16,1.117009341892834,0.8570309258236427
2020-10-19,1.1176329041117856,0.85575618696957
2020-10-20,1.1176567371086714,0.8551148121441603
2020-10-21,1.1170589133736806,0.8555924405071145
2020-10-22,1.116629632065802,0.855627327597087
2020-10-23,1.1164406702448304,0.8558832362990128
2020-10-26,1.117958632715112,0.8562703115806545
2020-10-27,1.1167356169465856,0.856751805581986
2020-10-28,1.1202844111691184,0.8574010642920017
2020-10-29,1.1198137581935694,0.8566458802496509
2020-10-30,1.119048319600334,0.8557584865617056
2020-11-02,1.1185665019908897,0.8556622458532124
2020-11-03,1.1181955646196797,0.8584861751814622
2020-11-04,1.1222566684567183,0.8593983947512409
2020-11-05,1.1234272527549298,0.8530972654815779
2020-11-06,1.1235215002016383,0.853293688078682
2020-11-09,1.1212557180986231,0.8532395471279532
2020-11-10,1.122012864388741,0.8527862255137713
2020-11-11,1.123025160336606,0.8519007748820342
2020-11-12,1.1226288227062768,0.8515058077570656
2020-11-13,1.1215517356617575,0.8524570771176991
2020-11-16,1.120296835019877,0.8518760228079272
2020-11-17,1.1205875445600384,0.8518896093577284
2020-11-18,1.1208719912357707,0.8507238762025549
2020-11-19,1.1208806650094927,0.8507191096274735
2020-11-20,1.1211109194331537,0.8515202270054455
2020-11-23,1.1204641875962744,0.8516061112352613
2020-11-24,1.1204374481432922,0.8532152567545034
2020-11-25,1.1204246719080608,0.8531750599520735
2020-11-27,1.1205591465337899,0.8527775353326427
2020-11-30,1.1204731559838856,0.8535424726257742
2020-12-01,1.1200909673112245,0.8520706843983187
2020-12-02,1.1204184479227415,0.8521375811374058
2020-12-03,1.1205360823137098,0.8520072876952368
2020-12-04,1.11968223790673,0.8523656602362112
2020-12-07,1.1196028262795321,0.8527708124726864
2020-12-08,1.1196878424426437,0.8522242034476759
2020-12-09,1.1204816294935669,0.8508095299981476
2020-12-10,1.1203790268969822,0.8505701235692367
2020-12-11,1.120065613639209,0.8509308996162525
2020-12-14,1.1199494221390953,0.8512638500836192
2020-12-15,1.1185561966295567,0.8505944490337496
2020-12-16,1.118652403771093,0.8505545368673256
2020-12-17,1.1181331906133227,0.8497116168124413
2020-12-18,1.118104188423912,0.8493642215590715
2020-12-21,1.1173593361228473,0.8496579387697196
2020-12-22,1.1173367696787446,0.8496785556031777
2020-12-23,1.1173209841055312,0.8496550147814452
2020-12-24,1.117304638306627,0.8495872468256213
2020-12-28,1.1174641548179527,0.8497642371979627
2020-12-29,1.1172900713381497,0.8496967637123592
2020-12-30,1.117134089095599,0.8498048324977966
2020-12-31,1.1165683037996557,0.8485852008406527
2021-01-04,1.1169735183438219,0.853394589204938
2021-01-05,1.1164357284992725,0.8538435845911241
2021-01-06,1.1142272344120188,0.8535475215317747
2021-01-07,1.115087573937257,0.8498067107273987
2021-01-08,1.1148737726969615,0.8488453685540726
2021-01-11,1.1150499327657124,0.848348669023002
2021-01-12,1.1145173410060096,0.848184912959873
2021-01-13,1.114397840245485,0.8480638275495817
2021-01-14,1.1146541285796212,0.8478636226205951
2021-01-15,1.1135112206876092,0.8468895143946383
2021-01-19,1.1139797606273416,0.8453293407898927
2021-01-20,1.1161042242269559,0.8446504256578465
2021-01-21,1.1160522850339087,0.8446935015211796
2021-01-22,1.1159929070435701,0.8446814247674314
2021-01-25,1.1161950050220693,0.8464736893044971
2021-01-26,1.1156339805268014,0.8497312973032497
2021-01-27,1.1084219584750354,0.8431313116019653
2021-01-28,1.1097258611397303,0.8416663172983517
2021-01-29,1.11076166016189,0.8418470495346508
2021-02-01,1.1131925175967243,0.8407900119726973
2021-02-02,1.110339206970654,0.8435245004749086
2021-02-03,1.1085478769370745,0.8429766454585947
2021-02-04,1.1077804681745616,0.8432627760621824
2021-02-05,1.1073327651519653,0.8430152388674128
2021-02-08,1.1070484513797636,0.8430916545075133
2021-02-09,1.1061159702765613,0.8431785424360099
2021-02-10,1.1064984078325792,0.8431574850481007
2021-02-11,1.10681031484215,0.8436155975277216
2021-02-12,1.106614931144072,0.8433683089414648
2021-02-16,1.1066849088340658,0.8434642967358759
